run_id,Coal_Retrofitted_Min_Power_660-1000,Coal_Retrofitted_Time_660-1000,Coal_Retrofitted_Min_Power_300-660,Coal_Retrofitted_Time_300-660,Coal_Retrofitted_Min_Power_0-300,Coal_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_660-1000,CHP_NonRetrofitted_Time_660-1000,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Time_300-660,CHP_NonRetrofitted_Min_Power_0-300,CHP_NonRetrofitted_Time_0-300,MLT_Band,Description,Classification
1,0.576,11.692,0.688,9.973,0.659,7.77,0.318,6.661,0.418,13.304,0.483,6.938,0.084,"High_MP, High_Time, Tight_MLT",Fully Less Flexible
2,0.554,6.579,0.473,13.961,0.436,9.63,0.539,4.214,0.56,9.566,0.403,4.157,0.258,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
3,0.541,15.29,0.369,5.498,0.406,11.74,0.633,11.657,0.639,4.576,0.514,6.24,0.261,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
4,0.722,4.568,0.71,11.859,0.35,6.669,0.742,9.149,0.32,6.579,0.742,11.891,0.272,"High_MP, High_Time, Loose_MLT",Partially More Flexible
5,0.705,9.713,0.33,12.142,0.427,6.77,0.543,14.609,0.522,10.283,0.729,9.348,0.153,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
6,0.573,6.352,0.642,7.484,0.502,5.466,0.555,6.535,0.527,6.144,0.598,11.684,0.075,"High_MP, Low_Time, Tight_MLT",Partially More Flexible
7,0.707,6.263,0.677,12.649,0.64,6.946,0.418,5.603,0.315,11.515,0.712,4.621,0.113,"High_MP, High_Time, Tight_MLT",Fully Less Flexible
8,0.373,11.624,0.415,7.681,0.643,11.998,0.591,13.716,0.448,6.884,0.324,5.006,0.276,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
9,0.67,13.079,0.338,10.158,0.586,8.518,0.675,4.371,0.668,9.408,0.363,6.02,0.341,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
10,0.353,12.23,0.692,6.038,0.527,4.257,0.518,15.913,0.371,14.896,0.568,6.466,0.297,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
11,0.746,14.251,0.433,6.607,0.431,5.644,0.458,7.418,0.586,6.772,0.369,8.514,0.255,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
12,0.323,14.151,0.678,4.592,0.541,10.118,0.624,7.81,0.742,5.239,0.45,4.03,0.197,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
13,0.483,4.672,0.412,6.874,0.416,9.527,0.31,8.187,0.684,12.342,0.702,7.387,0.101,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
14,0.656,10.664,0.648,9.324,0.551,11.275,0.649,9.788,0.463,13.872,0.709,7.447,0.397,"High_MP, High_Time, Loose_MLT",Partially More Flexible
15,0.305,12.097,0.539,8.554,0.718,11.358,0.524,4.33,0.38,14.732,0.687,7.073,0.214,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
16,0.607,5.077,0.668,13.727,0.694,6.815,0.477,14.247,0.551,4.771,0.615,9.936,0.393,"High_MP, High_Time, Loose_MLT",Partially More Flexible
17,0.409,8.794,0.609,9.002,0.709,8.91,0.616,11.762,0.386,11.824,0.637,9.059,0.148,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
18,0.371,9.571,0.644,14.127,0.727,11.547,0.504,10.621,0.427,7.321,0.517,7.211,0.306,"High_MP, High_Time, Loose_MLT",Partially More Flexible
19,0.56,15.997,0.72,9.254,0.747,5.844,0.609,6.37,0.437,13.641,0.723,11.33,0.295,"High_MP, High_Time, Loose_MLT",Partially More Flexible
20,0.315,11.1,0.361,5.635,0.743,10.383,0.731,5.88,0.374,15.87,0.504,11.554,0.059,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
21,0.448,14.348,0.439,9.144,0.358,6.473,0.701,9.968,0.443,12.42,0.414,6.625,0.248,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
22,0.611,8.635,0.661,10.468,0.688,8.418,0.715,15.799,0.339,15.752,0.316,9.379,0.189,"High_MP, High_Time, Loose_MLT",Partially More Flexible
23,0.362,9.936,0.742,7.972,0.349,10.945,0.53,13.523,0.711,9.16,0.386,7.933,0.229,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
24,0.717,9.803,0.497,5.109,0.454,4.182,0.383,15.475,0.645,4.476,0.382,5.877,0.164,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
25,0.532,9.433,0.519,4.14,0.395,4.449,0.457,9.189,0.723,5.182,0.607,10.654,0.068,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
26,0.551,11.069,0.732,4.706,0.619,9.074,0.748,5.23,0.313,7.97,0.376,5.378,0.323,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
27,0.64,12.396,0.353,5.883,0.4,8.684,0.39,9.641,0.53,15.29,0.411,4.768,0.34,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
28,0.601,13.836,0.469,14.305,0.344,5.691,0.721,10.938,0.738,7.448,0.532,10.217,0.335,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
29,0.387,14.016,0.303,11.345,0.733,7.746,0.614,13.226,0.543,12.527,0.456,4.882,0.217,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
30,0.392,7.42,0.584,12.515,0.74,6.512,0.646,13.092,0.487,4.134,0.553,11.614,0.376,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
31,0.414,14.938,0.391,14.712,0.483,7.427,0.639,12.98,0.728,8.728,0.447,8.085,0.161,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
32,0.734,10.829,0.656,13.651,0.485,10.537,0.688,7.276,0.477,12.886,0.307,7.007,0.289,"High_MP, High_Time, Loose_MLT",Partially More Flexible
33,0.692,4.92,0.346,14.415,0.469,10.018,0.372,14.473,0.556,8.805,0.725,11.007,0.086,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
34,0.581,15.192,0.718,5.012,0.387,4.645,0.669,11.506,0.734,11.614,0.381,7.553,0.305,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
35,0.322,13.495,0.529,10.065,0.445,10.663,0.451,15.063,0.626,4.286,0.737,4.666,0.223,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
36,0.546,9.333,0.555,15.551,0.564,7.563,0.36,12.58,0.456,12.781,0.564,5.772,0.359,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
37,0.635,12.914,0.358,9.473,0.535,11.474,0.5,10.52,0.459,10.53,0.622,10.545,0.353,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
38,0.429,4.788,0.372,6.958,0.635,8.61,0.738,6.406,0.404,9.115,0.618,4.169,0.227,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
39,0.648,11.431,0.386,8.642,0.338,7.664,0.303,15.661,0.49,8.983,0.337,6.683,0.08,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
